date,close,adj_close
2025-03-26,221.5300,221.53
2025-03-27,223.8500,223.85
2025-03-28,217.9000,217.9
2025-03-31,222.1300,222.13
2025-04-01,223.1900,223.19
2025-04-02,223.8900,223.89
2025-04-03,203.1900,203.19
2025-04-04,188.3800,188.38
2025-04-07,181.4600,181.46
2025-04-08,172.4200,172.42
2025-04-09,198.8500,198.85
2025-04-10,190.4200,190.42
2025-04-11,198.1500,198.15
2025-04-14,202.5200,202.52
2025-04-15,202.1400,202.14
2025-04-16,194.2700,194.27
2025-04-17,196.9800,196.98
2025-04-21,193.1600,193.16
2025-04-22,199.7400,199.74
2025-04-23,204.6000,204.6
2025-04-24,208.3700,208.37
2025-04-25,209.2800,209.28
2025-04-28,210.1400,210.14
2025-04-29,211.2100,211.21
2025-04-30,212.5000,212.5
2025-05-01,213.3200,213.32
2025-05-02,205.3500,205.35
2025-05-05,198.8900,198.89
2025-05-06,198.5100,198.51
2025-05-07,196.2500,196.25
2025-05-08,197.4900,197.49
2025-05-09,198.5300,198.53
2025-05-12,210.7900,210.79
2025-05-13,212.9300,212.93
2025-05-14,212.3300,212.33
2025-05-15,211.4500,211.45
2025-05-16,211.2600,211.26
2025-05-19,208.7800,208.78
2025-05-20,206.8600,206.86
2025-05-21,202.0900,202.09
2025-05-22,201.3600,201.36
2025-05-23,195.2700,195.27
2025-05-27,200.2100,200.21
2025-05-28,200.4200,200.42
2025-05-29,199.9500,199.95
2025-05-30,200.8500,200.85
2025-06-02,201.7000,201.7
2025-06-03,203.2700,203.27
2025-06-04,202.8200,202.82
2025-06-05,200.6300,200.63
2025-06-06,203.9200,203.92
2025-06-09,201.4500,201.45
2025-06-10,202.6700,202.67
2025-06-11,198.7800,198.78
2025-06-12,199.2000,199.2
2025-06-13,196.4500,196.45
2025-06-16,198.4200,198.42
2025-06-17,195.6400,195.64
2025-06-18,196.5800,196.58
2025-06-20,201.0000,201.0
2025-06-23,201.5000,201.5
2025-06-24,200.3000,200.3
2025-06-25,201.5600,201.56
2025-06-26,201.0000,201.0
2025-06-27,201.0800,201.08
2025-06-30,205.1700,205.17
2025-07-01,207.8200,207.82
2025-07-02,212.4400,212.44
2025-07-03,213.5500,213.55
2025-07-07,209.9500,209.95
2025-07-08,210.0100,210.01
2025-07-09,211.1400,211.14
2025-07-10,212.4100,212.41
2025-07-11,211.1600,211.16
2025-07-14,208.6200,208.62
2025-07-15,209.1100,209.11
2025-07-16,210.1600,210.16
2025-07-17,210.0200,210.02
2025-07-18,211.1800,211.18
2025-07-21,212.4800,212.48
2025-07-22,214.4000,214.4
2025-07-23,214.1500,214.15
2025-07-24,213.7600,213.76
2025-07-25,213.8800,213.88
2025-07-28,214.0500,214.05
2025-07-29,211.2700,211.27
2025-07-30,209.0500,209.05
2025-07-31,207.5700,207.57
2025-08-01,202.3800,202.38
2025-08-04,203.3500,203.35
2025-08-05,202.9200,202.92
2025-08-06,213.2500,213.25
2025-08-07,220.0300,220.03
2025-08-08,229.3500,229.35
2025-08-11,227.1800,227.18
2025-08-12,229.6500,229.65
2025-08-13,233.3300,233.33
2025-08-14,232.7800,232.78
2025-08-15,231.5900,231.59
2025-08-18,230.8900,230.89
